Site,FavIcon,SecureProtocol,CheckPort,SiteAge,SiteLength,SpecialCharacters,Certificate,Malicious Links,Swapped,Pulse Count,Malicious count,IsSafe
http://owa-webapp.weebly.com/,1,0,0,0,0,1,0,0,0,0,0,0
https://goo.gl,0,0,0,0,0,0,0,0,0,0,100,1
http://greenwoodhypnotherapy.co.uk/modules/menu/-/Clients/fr/bnp/f124b2011820f726a76ee8fd928cec96/index.html,1,1,1,1,2,0,0,0,0,26,100,0
http://www.pacificador.org/dada/,1,0,0,0,0,0,0,0,0,0,100,0
http://paypal.com.info.secure.set.new.system.dispatch.all.includ.dispatch.information.serviceteam.protection.autolike-fb.com/pay.pal/secure/includ/includ/dispatch/your/more/help/data/more/index.php,1,1,1,0,2,2,1,0,0,0,100,0
https://cbsnews.com,0,0,0,0,0,0,0,0,0,2,100,1
http://www.econigeria.com/images/pages/49ff0977054427bbb255959412ff5649/,1,1,0,0,1,0,0,0,0,26,100,0
http://www.ezigma.com/11/index.html,1,1,0,0,0,0,1,0,0,0,100,0
https://washingtonpost.com,0,0,0,0,0,0,0,0,0,1,100,1
http://airieldown.net/wp-content/themes/vibration/nemid/go/update/,1,1,0,0,1,0,0,0,0,2,100,0
https://sites.google.com/site/unblockingfbcontacthelp/,1,0,0,0,1,0,0,0,0,0,100,0
http://smokesonstate.com/Gssss/Gssss/03de06dca9566abee6f603e95332ac29/,0,0,0,0,1,0,0,0,0,26,0,0
http://tinyurl.com/zkxg4le,0,0,0,0,0,0,0,0,0,50,100,0
https://com.com,1,1,0,0,0,0,0,0,0,2,100,1
https://waterconflictforum.org/&&*%5e&*(&&*%5e&*(&%5e*()*&%5e%25*%5e&*(&&*%5e&*(&%5e*()*&%5e%25&*%5e&*(&&*%5e&*(&%5e*()*&%5e%25**&%5e&&&&*%5e&*(&&*%5e&*(&&*%5e&*(&&*%5e&*(&&*%5e&*(&&*%5e&*(&%5e*()*&%5e%25**&%5e&&&%5e*()*&%5e%25**&%5e&&&%5e*()*&%5e%25**&%5e&&&*()*&%5e%25**&%5e&&&%5e*()*&%5e%25**&%5e&&&%5e*()*&%5e%25**&%5e&&&%5e*()*&%5e%25**&%5e&&&/1446734faef5ef2b916904acf2c10f07/,0,0,0,0,2,0,0,0,0,0,14,0
http://vegwithmeg.com/site/sbh/pagforall.htm,1,1,0,0,0,0,0,0,0,27,100,0
https://nytimes.com,0,0,0,0,0,0,0,0,0,16,100,1
